 Nombre del problema                      orthrds2  
 Numero de variables                     203 
 Numero de restricciones                 100 
 Numero maximo de iteraciones              50 
 Tolerancia                               1.00e-05 

 Objetivo en el punto inicial             0.000000000000000e+00 
 Norma de las restricciones en el punto inicial              4.67e+02 
 Norma del gradiente de la Lagrangiana en el punto inicial    0.00e+00 

   k         f             ||c||      ||gL||     alpha        mu     
-----------------------------------------------------------------------
    1     6.86645195e+00     2.06e+02      2.05e+01   5.00e-01   6.55e-02  
    2     1.27922389e+01     1.08e+02      1.75e+01   5.00e-01   9.24e-02  
    3     2.85823834e+01     1.24e+01      1.49e+01   1.00e+00   1.74e-01  
    4     3.07761283e+01     2.65e-01      1.14e+00   1.00e+00   1.96e-01  
    5     3.06703872e+01     6.00e-02      2.94e+00   1.00e+00   1.96e-01  
    6     3.05801522e+01     4.62e-02      1.61e+00   1.00e+00   1.96e-01  
    7     3.05101068e+01     3.60e-02      2.04e+00   1.00e+00   1.96e-01  
    8     3.00712288e+01     1.02e+00      2.30e+00   1.00e+00   1.96e-01  
    9     3.02792121e+01     2.64e-01      2.65e-01   1.00e+00   3.70e-01  
   10     3.04055975e+01     6.61e-02      5.20e-01   1.00e+00   6.64e-01  
   11     3.04384335e+01     3.72e-02      4.26e-01   5.00e-01   1.32e+00  
   12     3.04634076e+01     2.09e-02      3.73e-01   5.00e-01   1.80e+00  
   13     3.05014049e+01     5.23e-03      6.28e-01   1.00e+00   2.43e+00  
   14     3.05110038e+01     2.94e-03      4.87e-01   5.00e-01   4.80e+00  
   15     3.05182294e+01     1.65e-03      4.08e-01   5.00e-01   6.52e+00  
   16     3.05291105e+01     4.13e-04      6.37e-01   1.00e+00   8.78e+00  
   17     3.05318387e+01     2.33e-04      4.92e-01   5.00e-01   1.72e+01  
   18     3.05338869e+01     1.31e-04      4.10e-01   5.00e-01   2.33e+01  
   19     3.05369627e+01     3.27e-05      6.38e-01   1.00e+00   3.14e+01  
   20     3.05377323e+01     1.84e-05      4.92e-01   5.00e-01   6.15e+01  
   21     3.05383096e+01     1.03e-05      4.11e-01   5.00e-01   8.32e+01  
   22     3.05391759e+01     2.59e-06      6.38e-01   1.00e+00   1.12e+02  
   23     3.05393925e+01     1.46e-06      4.92e-01   5.00e-01   2.19e+02  
   24     3.05395550e+01     8.19e-07      4.11e-01   5.00e-01   2.96e+02  
   25     3.05397988e+01     2.05e-07      6.38e-01   1.00e+00   3.98e+02  
   26     3.05398597e+01     1.15e-07      4.92e-01   5.00e-01   7.78e+02  
   27     3.05399054e+01     6.48e-08      4.11e-01   5.00e-01   1.05e+03  
   28     3.05399740e+01     1.62e-08      6.38e-01   1.00e+00   1.41e+03  
   29     3.05399911e+01     9.11e-09      4.92e-01   5.00e-01   2.77e+03  
   30     3.05400040e+01     5.12e-09      4.11e-01   5.00e-01   3.74e+03  
   31     3.05400232e+01     1.28e-09      6.38e-01   1.00e+00   5.03e+03  
   32     3.05400281e+01     7.20e-10      4.92e-01   5.00e-01   9.83e+03  
   33     3.05400317e+01     4.05e-10      4.11e-01   5.00e-01   1.33e+04  
   34     3.05400371e+01     1.01e-10      6.38e-01   1.00e+00   1.79e+04  
   35     3.05400385e+01     5.70e-11      4.92e-01   5.00e-01   3.50e+04  
   36     3.05400395e+01     3.20e-11      4.11e-01   5.00e-01   4.73e+04  
   37     3.05400410e+01     8.01e-12      6.38e-01   1.00e+00   6.36e+04  
   38     3.05400414e+01     4.51e-12      4.92e-01   5.00e-01   1.24e+05  
   39     3.05400417e+01     2.54e-12      4.11e-01   5.00e-01   1.68e+05  
   40     3.05400421e+01     6.34e-13      6.38e-01   1.00e+00   2.26e+05  
   41     3.05400422e+01     3.57e-13      4.92e-01   5.00e-01   4.42e+05  
   42     3.05400423e+01     2.01e-13      4.11e-01   5.00e-01   5.98e+05  
   43     3.05400423e+01     1.13e-13      3.65e-01   5.00e-01   8.04e+05  

 Problema mal escalado 
